variable,modalite_originale,modalite_recassifiee
ekipa_tsy_afapo,Betsaka ny vaovao tsy fantatra,Information incomplète
ekipa_tsy_afapo,Fahatahorana,Peur
ekipa_tsy_afapo,Fandaniam-potoana fktsiny,Perte de temps
ekipa_tsy_afapo,Hatsaraina ny fandraisana marary,Amélioration de prise en charge
ekipa_tsy_afapo,Kely fotaona iresahana ,Peu de temps d'en parler
ekipa_tsy_afapo,Kitranoatrano,Il y a des familles ou amis
ekipa_tsy_afapo,Mahalana ny fanentanana,Peu de sensibilisation
ekipa_tsy_afapo,Mandany fotoagna,Perte de temps
ekipa_tsy_afapo,Mandany fotoana,Perte de temps
ekipa_tsy_afapo,Masiaka ny rasazy,Agent de santé méchante
ekipa_tsy_afapo,Mavandy,Ne dis pas la vérité
ekipa_tsy_afapo,"Mbola mitombo ny voan'aretina io ,midika fa tsy ampy fanaraha-maso",Pas de suivi
ekipa_tsy_afapo,Mbola ts matoky saode mbola miverina,Peur si la maladie vas retourner
ekipa_tsy_afapo,Mbola tsy misy,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy misy mpanentana,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy nadalo,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy nisy mpanentana,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy nisy nandalo,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy nisy nanentana,Pas de sensibilisation
ekipa_tsy_afapo,Mbola tsy tojo mintsy aho,Pas de sensibilisation
ekipa_tsy_afapo,Mbola vitsy ny fanentanana,Peu de sensibilisation
ekipa_tsy_afapo,Medecin après la mort,Medecin après la mort
ekipa_tsy_afapo,Mifidifidy,Il y a des familles ou amis
ekipa_tsy_afapo,Mila entitra fa tsy sangisangy ny aretina,Il faut être strict
ekipa_tsy_afapo,Mila mirahina,Besoin d'accompagnement
ekipa_tsy_afapo,Milaza rah mbol tsisy,dire qu'il n'y a pas encore
ekipa_tsy_afapo,Sambany vao nifampiresqka,C'est la première fois qu'on se parle
ekipa_tsy_afapo,"Satria aretina foronina fotsiny , politika fotsiny fa tsy misy akory",rumeur
ekipa_tsy_afapo,Satria eto amin'ny Fokontany tsy dia ampy fanentanana loatra,Pas de sensibilisation
ekipa_tsy_afapo,Satria Mbola tsy nanao,Pas de sensibilisation
ekipa_tsy_afapo,Satria mbola tsy nisy nanentana,Pas de sensibilisation
ekipa_tsy_afapo,Satria mbola tsy nisy panadihady anay raha tsy vo zao ,Pas de sensibilisation
ekipa_tsy_afapo,Satria tsy ataon'izy ireo matetika ilay fanentanana ka tsy de rarahian'ny olona,Peu de sensibilisation
ekipa_tsy_afapo,Satria tsy concerne amiko,je ne suis pas concerné
ekipa_tsy_afapo,Satria tsy dia mazava tsara ny fanazavan'izy ireo,Manque d'information
ekipa_tsy_afapo,Satria tsy lisy afaka anontaniana,Manque d'information
ekipa_tsy_afapo,Satria tsy misy ihany ny fanentana atao,Pas de sensibilisation
ekipa_tsy_afapo,Satria tsy misy ny mpanentana momba io aretina io eto @ fokontany,Pas de sensibilisation
ekipa_tsy_afapo,"Satria tsy naheno no tsy nahita marina ,tsy fantatra zay tena marina",Manque d'information
ekipa_tsy_afapo,Satria vaovao tsy. Marina daholo izany,Peur
ekipa_tsy_afapo,Satria zay vo nisy panadihady mombany aretina vaovao ty teto,Peu de sensibilisation
ekipa_tsy_afapo,Tsa naheno ny zava-misy,rumeur
ekipa_tsy_afapo,Tsara ny miaraka maro mbahandresilahatra,c'est mieux si on fait ensemble
ekipa_tsy_afapo,Tsiampy ni olona manentana   arapahasalammana,Peu de sensibilisation
ekipa_tsy_afapo,Tsidia mazavalotra,Manque d'information
ekipa_tsy_afapo,Tsisy fanentanana aty,Pas de sensibilisation
ekipa_tsy_afapo,Tsisy mpanentana,Pas de sensibilisation
ekipa_tsy_afapo,Tsisy nanentana ,Pas de sensibilisation
ekipa_tsy_afapo,Tsisy sensibilisation aty aminay,Pas de sensibilisation
ekipa_tsy_afapo,Tsisy tamberin'andraikitra,Pas de retour
ekipa_tsy_afapo,Tsiteanao,Ne veut pas faire
ekipa_tsy_afapo,"Tsy ampi fanentanana tsara ,otrany resaka kobokobonina fotsin",Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy ,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy fampitana vaovao ,Manque d'information
ekipa_tsy_afapo,Tsy ampy fanentanana,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy fanentanana ,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy fanentanana ny ety @ fokontany,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy fanetanana,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy le fanetanana,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy ny fahalalana,Manque d'information
ekipa_tsy_afapo,Tsy ampy ny fahalalany olona,Manque d'information
ekipa_tsy_afapo,Tsy ampy ny fana zavana,Manque d'information
ekipa_tsy_afapo,Tsy ampy n'y fanazavana sy fitaovana ampiasaina ,Manque d'information
ekipa_tsy_afapo,Tsy ampy ny fanentanana,Peu de sensibilisation
ekipa_tsy_afapo,Tsy ampy ny fanentanana momban'ilay aretina,Pas de retour
ekipa_tsy_afapo,Tsy ampy ny fifandraisana,Manque d'information
ekipa_tsy_afapo,Tsy atokisana,Peur
ekipa_tsy_afapo,Tsy azoko tsara io,Manque d'information
ekipa_tsy_afapo,Tsy de mahita ny fampahalalana momba izany aho,Manque d'information
ekipa_tsy_afapo,Tsy dia mazava ny fanazavanay,Manque d'information
